NBHD_ID	neighbours
1	3,76,54,43,4,50,67
10	41,2,9,47,16,63,26
11	29,62,52,8
12	22,15,9,14,20
13	7,70,22,31,20,37
14	55,15,31,48,57,20,77,12
15	55,9,47,26,14,20,77,12
16	41,2,9,47,10,59
17	55,48,18,77,49,25
18	17,55,26,77,25
19	35,54,43,50,34
2	41,16,10,63,36,61,39
20	13,22,15,14,31,57,12,37
21	7,70,64,69,65,66
22	7,70,13,9,59,20,12
24	60,42,46,48,57
25	17,26,29,18,49
26	15,47,10,63,36,29,18,77,25
27	35,44,6
28	45
29	26,36,62,25,11
3	41,51,59,54,61,71,50,67,1
30	32,69,65
31	13,14,46,57,20,37
32	58,40,30,65,33
33	58,32,65
34	35,54,43,6,19
35	27,6,19,34
36	2,63,26,29,75,62,39,56,8
37	7,13,42,46,72,31,20
38	72,69
39	2,36,74,75,61,56
4	5,76,68,61,67,1
40	32
41	3,2,16,10,59,61,67
42	24,46,72,37,78
43	76,54,19,1,34
44	27
45	60,28
46	24,42,31,57,37
47	15,9,16,10,26
48	17,55,60,24,14,57,49
49	17,55,60,48,25
5	76,68,4
50	3,53,51,54,71,19,1
51	3,70,53,64,71,50
52	62,8,11
53	51,64,50
54	3,76,43,19,50,1,34
55	17,15,14,48,57,18,77,49
56	36,74,75,61,39
57	55,60,24,14,46,31,48,20
58	32,65,33
59	3,41,70,22,9,16,71
6	35,27,34
60	24,48,57,45,49
61	3,41,2,74,68,4,39,67,56
62	36,29,75,52,8,11
63	2,10,26,36
64	70,53,51,73,66,21,71
65	58,32,30,69,73,66,21,33
66	70,64,69,65,73,21
67	3,41,76,68,4,61,1
68	74,5,4,61,67
69	38,72,30,65,66,21
7	70,13,22,21,37
70	7,13,22,51,59,64,66,21,71
71	3,70,51,59,64,50
72	38,42,69,37,78
73	64,65,66
74	68,61,39,56
75	36,62,39,56,8
76	5,54,43,4,67,1
77	17,55,15,26,14,18
78	42,72
8	36,75,62,52,11
9	22,15,47,16,10,59,12
