tract,state_abbr,year,annual_change,hpi,hpi1990,hpi2000,TRACT_ID
"08001007900",CO,"1998",".","100.00",".","78.81","08001007900"
"08001007900",CO,"1999","2.10","102.10",".","80.47","08001007900"
"08001007900",CO,"2000","24.27","126.88",".","100.00","08001007900"
"08001007900",CO,"2001","11.58","141.58",".","111.58","08001007900"
"08001007900",CO,"2002","9.53","155.07",".","122.22","08001007900"
"08001007900",CO,"2003","-0.30","154.62",".","121.86","08001007900"
"08001007900",CO,"2004","-0.69","153.55",".","121.01","08001007900"
"08001007900",CO,"2005","-5.43","145.21",".","114.44","08001007900"
"08001007900",CO,"2006","-2.55","141.50",".","111.52","08001007900"
"08001007900",CO,"2007","-8.51","129.47",".","102.03","08001007900"
"08001007900",CO,"2008","-14.35","110.88",".","87.39","08001007900"
"08001007900",CO,"2009","-22.18","86.29",".","68.00","08001007900"
"08001007900",CO,"2010","16.48","100.50",".","79.21","08001007900"
"08001007900",CO,"2011","9.24","109.80",".","86.53","08001007900"
"08001007900",CO,"2012","-10.71","98.04",".","77.26","08001007900"
"08001007900",CO,"2013","30.95","128.38",".","101.17","08001007900"
"08001007900",CO,"2014","10.95","142.44",".","112.26","08001007900"
"08001007900",CO,"2015","25.55","178.83",".","140.94","08001007900"
"08001007900",CO,"2016","18.29","211.54",".","166.72","08001007900"
"08001007900",CO,"2017","9.82","232.31",".","183.09","08001007900"
"08001007900",CO,"2018","12.34","260.97",".","205.68","08001007900"
"08001008000",CO,"1993",".","100.00",".","45.39","08001008000"
"08001008000",CO,"1994","-2.29","97.71",".","44.35","08001008000"
"08001008000",CO,"1995","16.25","113.58",".","51.56","08001008000"
"08001008000",CO,"1996","10.15","125.11",".","56.79","08001008000"
"08001008000",CO,"1997","13.45","141.94",".","64.43","08001008000"
"08001008000",CO,"1998","14.75","162.87",".","73.93","08001008000"
"08001008000",CO,"1999","12.25","182.82",".","82.99","08001008000"
"08001008000",CO,"2000","20.50","220.30",".","100.00","08001008000"
"08001008000",CO,"2001","15.74","254.98",".","115.74","08001008000"
"08001008000",CO,"2002","3.40","263.64",".","119.67","08001008000"
"08001008000",CO,"2003","4.47","275.42",".","125.02","08001008000"
"08001008000",CO,"2004","-2.88","267.48",".","121.42","08001008000"
"08001008000",CO,"2005","0.44","268.67",".","121.96","08001008000"
"08001008000",CO,"2006","-6.36","251.58",".","114.20","08001008000"
"08001008000",CO,"2007","-7.94","231.61",".","105.14","08001008000"
"08001008000",CO,"2008","-24.62","174.58",".","79.25","08001008000"
"08001008000",CO,"2009","4.09","181.72",".","82.49","08001008000"
"08001008000",CO,"2010","7.22","194.83",".","88.44","08001008000"
"08001008000",CO,"2011","-4.39","186.29",".","84.56","08001008000"
"08001008000",CO,"2012","9.05","203.14",".","92.21","08001008000"
"08001008000",CO,"2013","10.80","225.08",".","102.17","08001008000"
"08001008000",CO,"2014","14.12","256.87",".","116.60","08001008000"
"08001008000",CO,"2015","24.00","318.52",".","144.59","08001008000"
"08001008000",CO,"2016","15.17","366.85",".","166.53","08001008000"
"08001008000",CO,"2017","21.97","447.46",".","203.12","08001008000"
"08001008000",CO,"2018","8.79","486.78",".","220.97","08001008000"
"08001008308",CO,"1998",".","100.00",".","80.50","08001008308"
"08001008308",CO,"1999","11.43","111.43",".","89.70","08001008308"
"08001008308",CO,"2000","11.48","124.23",".","100.00","08001008308"
"08001008308",CO,"2001","13.63","141.16",".","113.63","08001008308"
